No,Kategori,Checklist Kesiapan,PIC,Status (OK/Not OK)
1,Akun Eksternal,Penunjukan minimal 1 Supervisor (Full Access Dashboard),Customer,
2,Akun Eksternal,Penunjukan minimal 2 Admin/Tyre Man (Input Data Harian),Customer,
3,Akun Eksternal,Daftar Unit Kendaraan (No. Pol; Kode Unit; Layout Roda),Customer,
4,Akun Eksternal,Daftar Lokasi Kerja (Site/Gudang Lokal),Customer,
5,Akun Eksternal,Kesepakatan jadwal pemeriksaan ban mingguan,Customer,
6,Akun Internal,Input Master Brand; Size; dan Pattern,CPH Admin,
7,Akun Internal,Input Failure Code yang disepakati dengan GSI,CPH Admin,
8,Akun Internal,Pelatihan cara input Examination & Movement,Developer,
9,Akun Internal,Pelatihan cara membaca Dashboard & Export Data,Developer,
10,Akun Internal,Hak akses Role Management sudah sesuai (3-Tier),Developer,
